Retailer,Scope,L1,L2,L3,L4,L5,L6,Count,Level,Category ID,Count Source,Node Type,Sub-categories,Has Deeper Levels,Name Source,Found In,URL,Notes
Michaels,Planning & Craft Organization,Storage,Craft Storage,Binders & Storage Bags,,,,930,3,20002145,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/binders-storage-bags,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Carts & Drawer Units,,,,56,3,809188644,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/carts-drawer-units,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Craft Machine & Vinyl Storage,,,,2,3,20001006,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/craft-machine-vinyl-storage,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Craft Room Furniture,,,,86,3,809188643,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/craft-room-furniture,Page breadcrumb files it under: Storage > Modular Storage
Michaels,Planning & Craft Organization,Storage,Craft Storage,Photo Storage,,,,40,3,809188641,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/photo-storage,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Plastic Organizers,,,,283,3,809188647,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/plastic-organizers,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Rolling Bags,,,,114,3,809188645,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/rolling-bags,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Scrapbooking Storage,,,,90,3,20002361,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/scrapbooking-storage,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Soft Storage,,,,30,3,809188646,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/soft-storage,
Michaels,Planning & Craft Organization,Storage,Craft Storage,Storage Bottles & Jars,,,,295,3,20003287,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage/storage-bottles-jars,
Michaels,Planning & Craft Organization,Storage,Kids Art Storage,,,,,14,2,917103209,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/kids-art-storage,
Michaels,Planning & Craft Organization,Storage,Office Organization and Storage,,,,,698,2,921618748,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/office-organization-storage,Page breadcrumb files it under: Storage > Office Organization Storage
Michaels,Planning & Craft Organization,Storage,Sewing Baskets & Organization,,,,,16,2,20003826,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/sewing-baskets-organization,
Michaels,Planning & Craft Organization,Storage,Yarn Storage,,,,,212,2,20003496,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/yarn-storage,Page breadcrumb files it under: Yarn Needlework > Storage Organization
Michaels,Labels & Packaging Accessories,The Party Shop,,,,,,,1,809188719,,Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/party,
Michaels,Labels & Packaging Accessories,The Party Shop,Gift Packaging,,,,,3366,2,832736986,"Michaels live, 25 Sep 2026",Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/party/gift-packaging,
Michaels,Labels & Packaging Accessories,The Party Shop,Gift Packaging,Gift Packaging Accessories,,,,74,3,832736997,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/party/gift-packaging/gift-packaging-accessories,Page breadcrumb files it under: Party > Gift Packaging > Gift Packaging Accessories
